PEREXNO|FCLTUIN|FCLNAME|FCLTYAD|FCLTCIT|FCLCNTY|FCLSTCD|FCLZIPC|FCLGLAT|FCLGLON|S303D|
RIR230486|110004903515|CRYSTAL THERMOPLASTICS|70 INDUSTRIAL ROAD|CUMBERLAND|RI007|RI|02864|41.954066|-71.39561||
RIR320000||||||||0.0|0.0||
RIR320015|110009438983|THE CONKLIN LIMESTONE CO., INC|25 WILBUR ROAD|LINCOLN|RI007|RI|02865|41.924988|-71.458328||
RIR320416|110004935946|RI ECONOMIC DEVELOPMENT CORP.|UNKNOWN|NORTH KINGSTOWN|RI009|RI|02852|41.607073|-71.4655565||
RIR400000||||||||0.0|0.0||
RIR400002|110039211260|NORTHLAND ENVIRONMENTAL INC.|252 ALLENS AVENUE|PROVIDENCE|RI007|RI|02905|41.805542|-71.401382|Y|
RIR5AA001|110012483259|MODINE MANUFACTURING CO.|604 LIBERTY LANE|WEST KINGSTON|RI009|RI|02892-1802|41.480545|-71.570831||
RIR5AA002|110000819954|G TANURY PLATING COMPANY|100 RAILROAD AVENUE|JOHNSTON|RI007|RI|029190000|41.852768|-71.486099||
RIR5AA003|110004903276|FERGUSON PERFORATING & WIRE CO . INC.|130-140 ERNEST ST|PROVIDENCE|RI007|RI|02905|41.794434|-71.399719||
RIR5AA004|110032604901|BARKER STEEL COMPANY, INC.|30 LOCKBRIDGE STREET|PAWTUCKET|RI007|RI|02860|41.879166|-71.408325||
RIR5AA005|110000312224|STANLEY FASTENING SYSTEMS|545 CALLAHAN ROAD|NORTH KINGSTOWN|RI009|RI|028527731|41.599716|-71.433044||
RIR5AA006||STANLEY FASTENING SYSTEMS|1 BRIGGS DRIVE (OFF ROUTE 2)|EAST GREENWICH|RI003|RI|028189949|41.633331|-71.49527||
RIR5AA007|110000312698|AMTROL INC|1400 DIVISION ROAD|WEST WARWICK|RI003|RI|02893|41.673599|-71.504166||
RIR5AA008||BALLOU BA & CO INC|800 WATERMAN AVENUE|EAST PROVIDENCE|RI007|RI|02914-1714|41.813889|-71.349991||
RIR5AA009|110000312297|PROVIDENCE METALLIZING CO. IN C|51 FAIRLAWN AVENUE|PAWTUCKET|RI007|RI|028602591|41.873596|-71.409714||
RIR5AA010||TIFFANY & CO|300 MAPLE RIDGE DRIVE|CUMBERLAND|RI007|RI|028648707|42.000824|-71.460541||
RIR5AA011||TIFFANY & CO|40 KENNEY DR|CRANSTON|RI007|RI|02920|41.741104|-71.448044||
RIR5AA012|110031001074|HD SUPPLY WATERWORKS LTD (WW7030)|244 BURLINGHAM AVE|NORTH KINGSTOWN||RI|02852|41.607073|-71.4655565||
RIR5AC001|110004936570|NARRAGANSETT IMAGING|51 INDUSTRIAL DR|NORTH SMITHFIELD|RI007|RI|02896|41.993881|-71.574432||
